c1,c2,c3,c4,c5,Occupati alla data di riferimento,c7,c8
,Individui,,,,di cui:  di cui:,,Quota (%) nuovi
,raggiunti,,Totale,,con nuovo rapporto di lavoro avviato con rapporto di lavoro avviato prima,,rapporti di lavoro sul
,,,,,dopo la presa in carico della presa in carico,,totale occupati
,(A),(B),,(B/A) %,(C) (C/A) % (D),(D/A) %,(C/B)%
Regione presa in carico,,,,,,,
Abruzzo,66.528,28585,,"43,0","25740 38,7 2845","4,3","90,0"
Basilicata,44.081,15723,,"35,7","14227 32,3 1496","3,4","90,5"
P.A. Bolzano,15.301,8.492,,"55,5","8.088 52,9 404","2,6","95,2"
Calabria,162.024,52.314,,"32,3","47.752 29,5 4.562","2,8","91,3"
Campania,501.585,157.683,,"31,4","142.841 28,5 14.842","3,0","90,6"
Emilia-Romagna,257.330,118.859,,"46,2","107.215 41,7 11.644","4,5","90,2"
Friuli-Venezia Giulia,102.776,50.397,,"49,0","47.673 46,4 2.724","2,7","94,6"
Lazio,250.757,103.742,,"41,4","90.194 36,0 13.548","5,4","86,9"
Liguria,63.840,30.697,,"48,1","27.648 43,3 3.049","4,8","90,1"
Lombardia,478.946,194.514,,"40,6","169.883 35,5 24.631","5,1","87,3"
Marche,101.536,46257,,"45,6","42103 41,5 4154","4,1","91,0"
Molise,12.710,4.540,,"35,7","4.082 32,1 458","3,6","89,9"
Piemonte,242.573,101.164,,"41,7","90.451 37,3 10.713","4,4","89,4"
Puglia,355.411,139.508,,"39,3","128.816 36,2 10.692","3,0","92,3"
Sardegna,160.690,78.556,,"48,9","73.543 45,8 5.013","3,1","93,6"
Sicilia,500.187,163.146,,"32,6","149.910 30,0 13.236","2,6","91,9"
Toscana,261.441,130704,,"50,0","119081 45,5 11623","4,4","91,1"
P.A. Trento,25.371,13.234,,"52,2","12.570 49,5 664","2,6","95,0"
Umbria,58192,26091,,"44,8","23445 40,3 2646","4,5","89,9"
Valle d'Aosta,6.324,3.179,,"50,3","2.925 46,3 254","4,0","92,0"
Veneto,290.868,138.642,,"47,7","129.616 44,6 9.026","3,1","93,5"
Percorso,,,,,,,
1. Reinserimento lavorativo,2.009.317,984.233,,"49,0","898.654 44,7 85.579","4,3","91,3"
2. Upskilling,953.154,406.524,,"42,7","368.505 38,7 38.019","4,0","90,6"
3. Reskilling,849.569,181.187,,"21,3","162.850 19,2 18.337","2,2","89,9"
4. Lavoro e inclusione,146.431,34.083,,"23,3","27.794 19,0 6.289","4,3","81,5"
Totale,3.958.471,1.606.027,,"40,6","1.457.803 36,8 148.224","3,7","90,8"
