Genere,c3,c4,Età,c6,c7,c8,c8,c10,c11,Anzianità disoccupazione,c13
Maschi,Femmine,Totale,15-29,30-54,55+,Totale,Italiana,Straniera,Totale,>= 6 mesi,>= 12 mesi
