report_id,data_riferimento,titolo_tabella,regione,raggiunti,con_politica,con_politica_pc,lep_e,lep_f1,lep_f2,c07_form_incl_dig,c11_form_no_dig,c12_form_spec_dig,lep_h,lep_j,lep_o,tirocinio_co,con_pol_o_tiroc,con_pol_o_tiroc_pc
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Toscana,284736.0,259002.0,91.0,235246.0,189677.0,12014.0,41113.0,41905.0,28402.0,95892.0,6152.0,3529.0,16898.0,259896.0,91.3
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",P.A. Trento,27707.0,26697.0,96.4,11505.0,24439.0,315.0,1337.0,3449.0,3469.0,7891.0,372.0,138.0,817.0,26718.0,96.4
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Umbria,64150.0,48965.0,76.3,46965.0,27041.0,2752.0,529.0,7035.0,6376.0,12393.0,0.0,9.0,5560.0,50018.0,78.0
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Valle d'Aosta,7181.0,6366.0,88.7,5106.0,3935.0,476.0,379.0,426.0,758.0,1656.0,28.0,39.0,642.0,6400.0,89.1
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Veneto,319714.0,319497.0,99.9,319394.0,297743.0,19468.0,16456.0,50766.0,26428.0,83081.0,2426.0,385.0,34200.0,319528.0,99.9
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Totale,4331220.0,2986783.0,69.0,2607324.0,1798782.0,130044.0,419965.0,275886.0,393101.0,1010828.0,10936.0,34838.0,285053.0,3077097.0,71.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Abruzzo,69284.0,59102.0,85.3,47172.0,33145.0,15.0,1505.0,940.0,3147.0,5497.0,0.0,110.0,4450.0,59936.0,86.5
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Basilicata,46133.0,17661.0,38.3,9199.0,4487.0,0.0,3442.0,1676.0,6136.0,11025.0,4.0,138.0,2013.0,19541.0,42.4
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",P.A. Bolzano,15980.0,15795.0,98.8,1959.0,15774.0,70.0,17.0,1075.0,479.0,1344.0,0.0,30.0,363.0,15804.0,98.9
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.1 Programma GOL: individui per Regione di ultima presa in carico con almeno una politica avviata o conclusa dopo la presa in carico (LEP avviati dopo la presa in carico), v.a. e val.%",Calabria,171130.0,116647.0,68.2,113138.0,68588.0,3260.0,7394.0,6646.0,17205.0,30213.0,0.0,3469.0,7057.0,120565.0,70.5
