report_id,data_riferimento,tavola,titolo_tabella,dimensione,etichetta,variabile,percorso,unita_misura,valore
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Campania,totale,,valore_assoluto,351678.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Emilia-Romagna,2022,,valore_assoluto,44363.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Emilia-Romagna,2023,,valore_assoluto,83822.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Emilia-Romagna,2024,,valore_assoluto,45771.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Emilia-Romagna,incidenza_pc,,percentuale,26.3
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Emilia-Romagna,individui,,valore_assoluto,171599.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Emilia-Romagna,totale,,valore_assoluto,173956.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Friuli-Venezia Giulia,2022,,valore_assoluto,16758.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Friuli-Venezia Giulia,2023,,valore_assoluto,36449.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Friuli-Venezia Giulia,2024,,valore_assoluto,17893.0
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno*) e individui raggiunti per Regione, v.a. e v. %",regione,Friuli-Venezia Giulia,incidenza_pc,,percentuale,25.2
