report_id,data_riferimento,titolo_tabella,dimensione,etichetta,percorso,presi_in_carico,occupati_totale,occupati_pc,nuovi_occupati,nuovi_occupati_pc,gia_occupati,gia_occupati_pc,quota_nuovi_su_occ
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling,1027980.0,409236.0,39.8,366244.0,35.6,42992.0,4.2,89.5
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling,943858.0,191038.0,20.2,169548.0,18.0,21490.0,2.3,88.8
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",percorso,4_lavoro_inclusione,4_lavoro_inclusione,160544.0,35569.0,22.2,28134.0,17.5,7435.0,4.6,79.1
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Abruzzo,,69284.0,31248.0,45.1,28398.0,41.0,2850.0,4.1,90.9
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Basilicata,,46133.0,17755.0,38.5,16177.0,35.1,1578.0,3.4,91.1
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,P.A. Bolzano,,15980.0,8642.0,54.1,8198.0,51.3,444.0,2.8,94.9
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Calabria,,171130.0,57528.0,33.6,52480.0,30.7,5048.0,2.9,91.2
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Campania,,529316.0,172013.0,32.5,154689.0,29.2,17324.0,3.3,89.9
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Emilia-Romagna,,269603.0,120781.0,44.8,108229.0,40.1,12552.0,4.7,89.6
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Friuli-Venezia Giulia,,108261.0,52413.0,48.4,49286.0,45.5,3127.0,2.9,94.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Lazio,,270347.0,117269.0,43.4,101600.0,37.6,15669.0,5.8,86.6
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Liguria,,66992.0,30213.0,45.1,26958.0,40.2,3255.0,4.9,89.2
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Lombardia,,519890.0,222751.0,42.8,196865.0,37.9,25886.0,5.0,88.4
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Marche,,106638.0,46501.0,43.6,41769.0,39.2,4732.0,4.4,89.8
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Molise,,13896.0,5448.0,39.2,4879.0,35.1,569.0,4.1,89.6
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Piemonte,,258697.0,110911.0,42.9,99026.0,38.3,11885.0,4.6,89.3
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Puglia,,379687.0,146099.0,38.5,134542.0,35.4,11557.0,3.0,92.1
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Sardegna,,168953.0,71265.0,42.2,64884.0,38.4,6381.0,3.8,91.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Sicilia,,532644.0,190096.0,35.7,175600.0,33.0,14496.0,2.7,92.4
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Toscana,,277036.0,135870.0,49.0,122745.0,44.3,13125.0,4.7,90.3
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,P.A. Trento,,26984.0,12336.0,45.7,11582.0,42.9,754.0,2.8,93.9
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Umbria,,62308.0,31054.0,49.8,28079.0,45.1,2975.0,4.8,90.4
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Valle d'Aosta,,6904.0,3104.0,45.0,2813.0,40.7,291.0,4.2,90.6
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Veneto,,312907.0,143673.0,45.9,133534.0,42.7,10139.0,3.2,92.9
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Totale,,4203261.0,1719724.0,40.9,1560554.0,37.1,159170.0,3.8,90.7
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo,2123596.0,1081210.0,50.9,990890.0,46.7,90320.0,4.3,91.6
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling,1003168.0,414031.0,41.3,372967.0,37.2,41064.0,4.1,90.1
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling,922799.0,188993.0,20.5,168206.0,18.2,20787.0,2.3,89.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",percorso,4_lavoro_inclusione,4_lavoro_inclusione,153698.0,35490.0,23.1,28491.0,18.5,6999.0,4.6,80.3
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Abruzzo,,66528.0,28585.0,43.0,25740.0,38.7,2845.0,4.3,90.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 2.2 Programma GOL: individui* occupati alla data di riferimento per regione di presa in carico e percorso, v.a. e val.%",regione,Basilicata,,44081.0,15723.0,35.7,14227.0,32.3,1496.0,3.4,90.5
