report_id,data_riferimento,titolo_tabella,regione,perc1_ass,perc2_ass,perc3_ass,perc4_ass,perc5_ass,perc1_pc,perc2_pc,perc3_pc,perc4_pc,perc5_pc
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Calabria,83352.0,47219.0,55125.0,4551.0,1246.0,43.5,24.7,28.8,2.4,0.7
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Campania,188752.0,127151.0,250953.0,31928.0,1785.0,31.4,21.2,41.8,5.3,0.3
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Emilia-Romagna,185500.0,65117.0,25240.0,20761.0,41.0,62.5,22.0,8.5,7.0,0.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Friuli-Venezia Giulia,84725.0,27738.0,11028.0,3047.0,589.0,66.6,21.8,8.7,2.4,0.5
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Lazio,170983.0,52845.0,59643.0,2244.0,1230.0,59.6,18.4,20.8,0.8,0.4
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Liguria,48961.0,9007.0,11197.0,3729.0,19.0,67.1,12.4,15.4,5.1,0.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Lombardia,323516.0,148976.0,90488.0,20071.0,149.0,55.5,25.5,15.5,3.4,0.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Marche,90366.0,20299.0,9869.0,2542.0,36.0,73.4,16.5,8.0,2.1,0.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Molise,5359.0,4220.0,5375.0,125.0,311.0,34.8,27.4,34.9,0.8,2.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Piemonte,148601.0,62653.0,46126.0,30292.0,1163.0,51.4,21.7,16.0,10.5,0.4
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Puglia,160596.0,121258.0,117436.0,7537.0,0.0,39.5,29.8,28.9,1.9,0.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Sardegna,109605.0,45546.0,35666.0,3385.0,1037.0,56.1,23.3,18.3,1.7,0.5
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Sicilia,265825.0,134215.0,187720.0,14333.0,1566.0,44.0,22.2,31.1,2.4,0.3
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Toscana,222134.0,67491.0,28078.0,12194.0,440.0,67.2,20.4,8.5,3.7,0.1
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",P.A. Trento,17746.0,7252.0,1601.0,2338.0,0.0,61.3,25.1,5.5,8.1,0.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Umbria,49717.0,10294.0,9631.0,1694.0,483.0,69.2,14.3,13.4,2.4,0.7
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Valle d'Aosta,4360.0,1702.0,352.0,1481.0,3.0,55.2,21.5,4.5,18.8,0.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Veneto,167082.0,157128.0,28793.0,9642.0,1135.0,45.9,43.2,7.9,2.7,0.3
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Totale,2416691.0,1135520.0,1005401.0,174438.0,11237.0,50.9,23.9,21.2,3.7,0.2
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Abruzzo,46694.0,12210.0,13089.0,946.0,0.0,64.0,16.7,17.9,1.3,0.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Basilicata,25684.0,8371.0,16617.0,532.0,4.0,50.2,16.3,32.5,1.0,0.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",P.A. Bolzano,12057.0,3715.0,560.0,796.0,0.0,70.4,21.7,3.3,4.6,0.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Calabria,78745.0,44146.0,52025.0,4443.0,1155.0,43.6,24.5,28.8,2.5,0.6
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Campania,179905.0,123143.0,231703.0,30222.0,1070.0,31.8,21.8,40.9,5.3,0.2
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Emilia-Romagna,175782.0,62111.0,23466.0,19162.0,37.0,62.7,22.1,8.4,6.8,0.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Friuli-Venezia Giulia,80909.0,26750.0,9590.0,2931.0,583.0,67.0,22.2,7.9,2.4,0.5
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Lazio,158340.0,49857.0,54258.0,2189.0,1088.0,59.6,18.8,20.4,0.8,0.4
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Liguria,46266.0,8800.0,10525.0,3519.0,19.0,66.9,12.7,15.2,5.1,0.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Lombardia,294492.0,139064.0,79504.0,19170.0,128.0,55.3,26.1,14.9,3.6,0.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Marche,85087.0,19265.0,9389.0,2051.0,1.0,73.5,16.6,8.1,1.8,0.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Molise,4970.0,3820.0,5044.0,119.0,311.0,34.8,26.8,35.4,0.8,2.2
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Piemonte,140093.0,59145.0,42049.0,27616.0,850.0,51.9,21.9,15.6,10.2,0.3
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Puglia,151749.0,113464.0,106068.0,7408.0,0.0,40.1,30.0,28.0,2.0,0.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Sardegna,103597.0,43392.0,31904.0,3314.0,756.0,56.6,23.7,17.4,1.8,0.4
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Sicilia,248854.0,123838.0,173184.0,14032.0,931.0,44.4,22.1,30.9,2.5,0.2
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Toscana,207849.0,62365.0,26914.0,10995.0,97.0,67.4,20.2,8.7,3.6,0.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",P.A. Trento,16157.0,6871.0,1506.0,2165.0,0.0,60.5,25.7,5.6,8.1,0.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Umbria,46823.0,9411.0,8668.0,1493.0,355.0,70.1,14.1,13.0,2.2,0.5
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Valle d'Aosta,3955.0,1587.0,235.0,1390.0,3.0,55.2,22.1,3.3,19.4,0.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Veneto,159997.0,145466.0,21050.0,9403.0,1010.0,47.5,43.2,6.2,2.8,0.3
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Totale,2268005.0,1066791.0,917348.0,163896.0,8398.0,51.3,24.1,20.7,3.7,0.2
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Abruzzo,45041.0,11674.0,12677.0,921.0,0.0,64.1,16.6,18.0,1.3,0.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Basilicata,22015.0,8171.0,16360.0,404.0,4.0,46.9,17.4,34.8,0.9,0.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",P.A. Bolzano,11540.0,3617.0,554.0,763.0,0.0,70.0,22.0,3.4,4.6,0.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Calabria,72363.0,42812.0,50442.0,4338.0,1138.0,42.3,25.0,29.5,2.5,0.7
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Campania,170589.0,120363.0,221419.0,29403.0,998.0,31.4,22.2,40.8,5.4,0.2
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Emilia-Romagna,168093.0,59847.0,22180.0,18054.0,34.0,62.7,22.3,8.3,6.7,0.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Friuli-Venezia Giulia,76249.0,26081.0,8955.0,2838.0,462.0,66.5,22.8,7.8,2.5,0.4
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Lazio,147860.0,48254.0,51719.0,2136.0,1021.0,58.9,19.2,20.6,0.9,0.4
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Liguria,43968.0,8679.0,10146.0,3385.0,19.0,66.4,13.1,15.3,5.1,0.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Lombardia,263178.0,132425.0,60833.0,18410.0,110.0,55.4,27.9,12.8,3.9,0.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Marche,81133.0,18660.0,9199.0,1872.0,0.0,73.2,16.8,8.3,1.7,0.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Molise,4188.0,3462.0,4698.0,116.0,311.0,32.8,27.1,36.8,0.9,2.4
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Piemonte,131926.0,56821.0,39703.0,25579.0,649.0,51.8,22.3,15.6,10.0,0.3
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.2 Programma GOL: prese in carico per regione e percorso, v.a. e val.%",Puglia,136195.0,108214.0,100190.0,7241.0,0.0,38.7,30.8,28.5,2.1,0.0
