report_id,data_riferimento,titolo_tabella,regione,2022,2023,2024,2025,totale,incidenza_pc,individui
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Basilicata,6398.0,12866.0,18741.0,16084.0,54089.0,29.7,46133.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",P.A. Bolzano,2422.0,5871.0,5603.0,4107.0,18003.0,22.8,15980.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Calabria,28565.0,48854.0,63234.0,50840.0,191493.0,26.5,171130.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Campania,91706.0,166106.0,207936.0,134821.0,600569.0,22.4,529316.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Emilia-Romagna,44377.0,84012.0,89383.0,78887.0,296659.0,26.6,269603.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Friuli-Venezia Giulia,21632.0,39287.0,37703.0,28505.0,127127.0,22.4,108261.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Lazio,61636.0,78929.0,75292.0,71088.0,286945.0,24.8,270347.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Liguria,11844.0,21184.0,23944.0,15941.0,72913.0,21.9,66992.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Lombardia,77288.0,137162.0,164530.0,204220.0,583200.0,35.0,519890.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Marche,18534.0,36185.0,39198.0,29195.0,123112.0,23.7,106638.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Molise,1690.0,2647.0,4571.0,6482.0,15390.0,42.1,13896.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Piemonte,46443.0,73547.0,80725.0,88120.0,288835.0,30.5,258697.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Puglia,70880.0,102505.0,118448.0,114994.0,406827.0,28.3,379687.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Sardegna,41976.0,58756.0,52862.0,41645.0,195239.0,21.3,168953.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Sicilia,65405.0,165585.0,194020.0,178649.0,603659.0,29.6,532644.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Toscana,45120.0,84789.0,103476.0,96952.0,330337.0,29.3,277036.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",P.A. Trento,4919.0,8100.0,8232.0,7686.0,28937.0,26.6,26984.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Umbria,11099.0,20343.0,21296.0,19081.0,71819.0,26.6,62308.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Valle d'Aosta,1313.0,1935.0,2058.0,2592.0,7898.0,32.8,6904.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Veneto,40825.0,116595.0,111558.0,94802.0,363780.0,26.1,312907.0
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Totale,703681.0,1290481.0,1446917.0,1302208.0,4743287.0,27.5,4213590.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Abruzzo,9642.0,25228.0,24148.0,13921.0,72939.0,19.1,66528.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Basilicata,6460.0,12979.0,18749.0,13020.0,51208.0,25.4,44085.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",P.A. Bolzano,2425.0,5875.0,5611.0,3217.0,17128.0,18.8,15301.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Calabria,28287.0,48864.0,63337.0,40026.0,180514.0,22.2,163148.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Campania,92156.0,166448.0,208216.0,99223.0,566043.0,17.5,502543.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Emilia-Romagna,44370.0,83986.0,89354.0,62848.0,280558.0,22.4,257367.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Friuli-Venezia Giulia,21694.0,39330.0,37706.0,22033.0,120763.0,18.2,103314.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Lazio,61715.0,79036.0,75317.0,49664.0,265732.0,18.7,251843.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Liguria,11842.0,21190.0,23800.0,12297.0,69129.0,17.8,63859.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Lombardia,77651.0,137636.0,164866.0,152205.0,532358.0,28.6,479047.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Marche,18590.0,36332.0,39308.0,21563.0,115793.0,18.6,101537.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Molise,1703.0,2660.0,4574.0,5327.0,14264.0,37.3,12973.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Piemonte,46640.0,73628.0,80775.0,68710.0,269753.0,25.5,243420.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Puglia,71121.0,102737.0,118416.0,86415.0,378689.0,22.8,355411.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Sardegna,40113.0,58428.0,53115.0,31307.0,182963.0,17.1,161429.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Sicilia,65814.0,167467.0,194251.0,133307.0,560839.0,23.8,501010.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Toscana,45156.0,84710.0,103313.0,75041.0,308220.0,24.3,261538.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",P.A. Trento,4890.0,8030.0,8091.0,5688.0,26699.0,21.3,25371.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Umbria,11067.0,20333.0,21346.0,14004.0,66750.0,21.0,58465.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Valle d'Aosta,1297.0,1925.0,2058.0,1890.0,7170.0,26.4,6327.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Veneto,40712.0,116535.0,111637.0,68042.0,336926.0,20.2,291815.0
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Totale,703345.0,1293357.0,1447988.0,979748.0,4424438.0,22.1,3966331.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Abruzzo,9651.0,25222.0,24189.0,11251.0,70313.0,16.0,64468.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Basilicata,6488.0,13007.0,18756.0,8703.0,46954.0,18.5,40704.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",P.A. Bolzano,2426.0,5876.0,5609.0,2563.0,16474.0,15.6,14769.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Calabria,28313.0,49022.0,63407.0,30351.0,171093.0,17.7,155877.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Campania,92242.0,166654.0,208326.0,75550.0,542772.0,13.9,485198.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Emilia-Romagna,44351.0,83889.0,89275.0,50693.0,268208.0,18.9,247688.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Friuli-Venezia Giulia,21712.0,39371.0,37727.0,15775.0,114585.0,13.8,99291.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Lazio,61755.0,79117.0,75319.0,34799.0,250990.0,13.9,239750.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Liguria,11846.0,21175.0,23636.0,9540.0,66197.0,14.4,61469.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Lombardia,77808.0,137806.0,165048.0,94294.0,474956.0,19.9,429881.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Marche,18614.0,36373.0,39355.0,16522.0,110864.0,14.9,97945.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Molise,1706.0,2661.0,4575.0,3833.0,12775.0,30.0,11707.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Piemonte,46728.0,73679.0,80798.0,53473.0,254678.0,21.0,231093.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Puglia,71239.0,102824.0,118272.0,59505.0,351840.0,16.9,332662.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Sardegna,40239.0,58562.0,53228.0,21707.0,173736.0,12.5,153894.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Sicilia,66021.0,168168.0,194357.0,83465.0,512011.0,16.3,467620.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Toscana,45283.0,84816.0,103419.0,53196.0,286714.0,18.6,244876.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",P.A. Trento,4889.0,8030.0,8073.0,4440.0,25432.0,17.5,24369.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Umbria,11109.0,20360.0,21366.0,10578.0,63413.0,16.7,56053.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Valle d'Aosta,1293.0,1923.0,2058.0,1447.0,6721.0,21.5,5970.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Veneto,40726.0,116590.0,111670.0,53015.0,322001.0,16.5,280561.0
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti, ultima presa in carico per Regione, v.a. e val.%",Totale,704439.0,1295125.0,1448463.0,694700.0,4142727.0,16.8,3745845.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Abruzzo,9674.0,25244.0,24205.0,6687.0,65810.0,10.2,60700.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Basilicata,6548.0,13055.0,18782.0,5221.0,43606.0,12.0,38106.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",P.A. Bolzano,2427.0,5888.0,5616.0,1388.0,15319.0,9.1,13855.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Calabria,28364.0,49134.0,63623.0,16730.0,157851.0,10.6,144448.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Campania,92935.0,167338.0,208484.0,40688.0,509445.0,8.0,457972.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Emilia-Romagna,44379.0,83912.0,89281.0,27979.0,245551.0,11.4,229902.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Friuli-Venezia Giulia,21721.0,39368.0,37736.0,9090.0,107915.0,8.4,94093.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Lazio,61812.0,79147.0,75325.0,18457.0,234741.0,7.9,225516.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Liguria,11835.0,21164.0,23095.0,4943.0,61037.0,8.1,56990.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Lombardia,77970.0,137986.0,165158.0,48107.0,429221.0,11.2,392313.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Marche,18549.0,36328.0,39340.0,9410.0,103627.0,9.1,92793.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Molise,1710.0,2669.0,4581.0,2069.0,11029.0,18.8,10255.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Piemonte,46867.0,73723.0,80817.0,28110.0,229517.0,12.2,210599.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Puglia,71544.0,103066.0,118036.0,31697.0,324343.0,9.8,307146.0
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,"Tabella 1.1 Programma GOL: prese in carico (totale e per anno) e individui raggiunti per Regione, v.a. e val.%",Sardegna,39109.0,59153.0,54173.0,12301.0,164736.0,7.5,146388.0
