"1
Reinserimento
lavorativo","2
Upskilling","3
Reskilling","4
Lavoro e
inclusione",Totale
"41,3","39,3","35,6","38,5","40,1"
"6,2","8,2","11,1","2,7","7,2"
"44,0","41,0","43,1","44,8","43,2"
"5,4","8,8","6,6","11,3","6,5"
"3,1","2,7","3,4","2,7","3,0"
"100,0","100,0","100,0","100,0","100,0"
