Regione,c2,c3,"Individui
raggiunti",c5,c6,"Individui con
almeno una
politica
(LEP E, F1, F2,
H, J, O)",c8,c9,"%
individui
con
almeno
una
politica
sui
raggiunti",c11,c12,Individui con LEP dopo la presa in carico,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,"Individui
con
Tirocinio
da CO",c41,c42,"Individui
con almeno
una politica
(SAP) o un
tirocino CO",c44,c45,"%
individui
con
almeno
una
politica o
un
tirocinio
sui
raggiunti",c47,c48
,,,,,,,,,,,,"LEP E
Orient.
Specialistico",,,"LEP F1
Accomp. al
lavoro",,,"LEP F2
Attivazione
tirocinio",,,Dettaglio formazione,,,,,,,,,,,,"LEP J
Conciliazione
vita e lavoro",,,"LEP O
Supporto
autoimpiego",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,C07 -,,,C11 -,,"C12 -
,,,535.803,,,338.651,,,"63,2",,,280.602,,,221.405,,,19.189,,,22.957,,,57.098,,,47.574,,,113.657,,,390,,,2.326,,,37.333,,,356.468,,,"66,5",,
,,,,535.803,,,338.651,,,"63,2",,,280.602,,,221.405,,,19.189,,,22.957,,,57.098,,,47.574,,,113.657,,,390,,,2.326,,,37.333,,,356.468,,,"66,5",
,,,,109.505,,,94.343,,,"86,2",,,55.334,,,81.726,,,7.948,,,8.233,,,3.842,,,5.877,,,16.439,,,1,,,1.199,,,11.354,,,95.076,,,"86,8",
,,,14.608,,,3.639,,,"24,9",,,1.066,,,173,,,5,,,1.464,,,270,,,1.317,,,2.864,,,1,,,4,,,1.084,,,4.588,,,"31,4",,
,,,266.958,,,192.279,,,"72,0",,,181.843,,,103.051,,,23.702,,,51.008,,,6.661,,,19.363,,,70.475,,,1,,,55,,,27.137,,,194.873,,,"73,0",,
,,,391.092,,,192.363,,,"49,2",,,102.010,,,115.969,,,517,,,26.206,,,19.062,,,30.085,,,73.512,,,7,,,16.789,,,22.943,,,208.535,,,"53,3",,
,,,,391.092,,,192.363,,,"49,2",,,102.010,,,115.969,,,517,,,26.206,,,19.062,,,30.085,,,73.512,,,7,,,16.789,,,22.943,,,208.535,,,"53,3",
,,,,173.242,,,142.669,,,"82,4",,,141.256,,,61.582,,,5.925,,,34,,,10.696,,,11.619,,,21.035,,,1,,,397,,,11.774,,,144.587,,,"83,5",
,,,548.948,,,186.228,,,"33,9",,,162.460,,,28.116,,,189,,,24.671,,,11.446,,,35.568,,,65.487,,,4,,,248,,,26.846,,,210.460,,,"38,3",,
,,,284.736,,,259.002,,,"91,0",,,235.246,,,189.677,,,12.014,,,41.113,,,41.905,,,28.402,,,95.892,,,6.152,,,3.529,,,16.898,,,259.896,,,"91,3",,
,,,27.707,,,26.697,,,"96,4",,,11.505,,,24.439,,,315,,,1.337,,,3.449,,,3.469,,,7.891,,,372,,,138,,,817,,,26.718,,,"96,4",,
,,,,27.707,,,26.697,,,"96,4",,,11.505,,,24.439,,,315,,,1.337,,,3.449,,,3.469,,,7.891,,,372,,,138,,,817,,,26.718,,,"96,4",
,,,,64.150,,,48.965,,,"76,3",,,46.965,,,27.041,,,2.752,,,529,,,7.035,,,6.376,,,12.393,,,0,,,9,,,5.560,,,50.018,,,"78,0",
,,,7.181,,,6.366,,,"88,7",,,5.106,,,3.935,,,476,,,379,,,426,,,758,,,1.656,,,28,,,39,,,642,,,6.400,,,"89,1",,
,,,319.714,,,319.497,,,"99,9",,,319.394,,,297.743,,,19.468,,,16.456,,,50.766,,,26.428,,,83.081,,,2.426,,,385,,,34.200,,,319.528,,,"99,9",,
,,,4.331.220,,,2.986.783,,,"69,0",,,2.607.324,,,1.798.782,,,130.044,,,419.965,,,275.886,,,393.101,,,1.010.828,,,10.936,,,34.838,,,285.053,,,3.077.097,,,"71,0",,
