file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A2,1,Numero di presi in carico GOL per Regione e tasso di conseguimento del target PNRR 2022 e del target,4,Abruzzo,0,Nazionale | Presi in carico in GOL Target PNRR 2022 Target Nazionale 2022 | Tasso di | Valore Valore Valore Tasso di conseguimento | Val. % conseguimento | (A) (B) (C) (A/C%) | (A/B%),9.965,9965,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A2,1,Numero di presi in carico GOL per Regione e tasso di conseguimento del target PNRR 2022 e del target,4,Abruzzo,1,Nazionale | Presi in carico in GOL Target PNRR 2022 Target Nazionale 2022 | Tasso di | Valore Valore Valore Tasso di conseguimento | Val. % conseguimento | (A) (B) (C) (A/C%) | (A/B%),"1,4",1.4,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A2,1,Numero di presi in carico GOL per Regione e tasso di conseguimento del target PNRR 2022 e del target,4,Abruzzo,2,Nazionale | Presi in carico in GOL Target PNRR 2022 Target Nazionale 2022 | Tasso di | Valore Valore Valore Tasso di conseguimento | Val. % conseguimento | (A) (B) (C) (A/C%) | (A/B%),7.140,7140,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A2,1,Numero di presi in carico GOL per Regione e tasso di conseguimento del target PNRR 2022 e del target,4,Abruzzo,3,Nazionale | Presi in carico in GOL Target PNRR 2022 Target Nazionale 2022 | Tasso di | Valore Valore Valore Tasso di conseguimento | Val. % conseguimento | (A) (B) (C) (A/C%) | (A/B%),"139,6",139.6,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A2,1,Numero di presi in carico GOL per Regione e tasso di conseguimento del target PNRR 2022 e del target,4,Abruzzo,4,Nazionale | Presi in carico in GOL Target PNRR 2022 Target Nazionale 2022 | Tasso di | Valore Valore Valore Tasso di conseguimento | Val. % conseguimento | (A) (B) (C) (A/C%) | (A/B%),14.280,14280,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A2,1,Numero di presi in carico GOL per Regione e tasso di conseguimento del target PNRR 2022 e del target,4,Abruzzo,5,Nazionale | Presi in carico in GOL Target PNRR 2022 Target Nazionale 2022 | Tasso di | Valore Valore Valore Tasso di conseguimento | Val. % conseguimento | (A) (B) (C) (A/C%) | (A/B%),"69,8",69.8,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A2,1,Numero di presi in carico GOL per Regione e tasso di conseguimento del target PNRR 2022 e del target,4,Basilicata,0,Nazionale | Presi in carico in GOL Target PNRR 2022 Target Nazionale 2022 | Tasso di | Valore Valore Valore Tasso di conseguimento | Val. % conseguimento | (A) (B) (C) (A/C%) | (A/B%),6.947,6947,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A2,1,Numero di presi in carico GOL per Regione e tasso di conseguimento del target PNRR 2022 e del target,4,Basilicata,1,Nazionale | Presi in carico in GOL Target PNRR 2022 Target Nazionale 2022 | Tasso di | Valore Valore Valore Tasso di conseguimento | Val. % conseguimento | (A) (B) (C) (A/C%) | (A/B%),"1,0",1.0,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A2,1,Numero di presi in carico GOL per Regione e tasso di conseguimento del target PNRR 2022 e del target,4,Basilicata,2,Nazionale | Presi in carico in GOL Target PNRR 2022 Target Nazionale 2022 | Tasso di | Valore Valore Valore Tasso di conseguimento | Val. % conseguimento | (A) (B) (C) (A/C%) | (A/B%),3.300,3300,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A2,1,Numero di presi in carico GOL per Regione e tasso di conseguimento del target PNRR 2022 e del target,4,Basilicata,3,Nazionale | Presi in carico in GOL Target PNRR 2022 Target Nazionale 2022 | Tasso di | Valore Valore Valore Tasso di conseguimento | Val. % conseguimento | (A) (B) (C) (A/C%) | (A/B%),"210,5",210.5,percent,ok
