file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Basilicata,4,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"35,3",35.3,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Basilicata,5,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"28,1",28.1,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Basilicata,6,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"34,2",34.2,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Basilicata,7,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"2,4",2.4,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,P.A. Bolzano,0,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,1.398,1398,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,P.A. Bolzano,1,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,541,541,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,P.A. Bolzano,2,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,114,114,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,P.A. Bolzano,3,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,267,267,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,P.A. Bolzano,4,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"60,3",60.3,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,P.A. Bolzano,5,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"23,3",23.3,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,P.A. Bolzano,6,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"4,9",4.9,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,P.A. Bolzano,7,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"11,5",11.5,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Calabria,0,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,9.707,9707,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Calabria,1,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,7.249,7249,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Calabria,2,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,10.930,10930,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Calabria,3,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,909,909,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Calabria,4,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"33,7",33.7,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Calabria,5,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"25,2",25.2,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Calabria,6,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"38,0",38.0,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Calabria,7,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"3,1",3.1,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Campania,0,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,38.127,38127,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Campania,1,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,23.202,23202,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Campania,2,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,31.624,31624,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Campania,3,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,4.228,4228,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,A1,2,Numero di presi in carico in GOL per Regione e tipo di percorso GOL (v.a. e v.% riga),7,Campania,4,1 2 3 4 | Reinserimento Aggiornamento Riqualificazione Lavoro e Valori % (di riga) | lavorativo (upskilling) (reskilling) inclusione | Reinserimento Upskilling Reskilling Lavoro e | Valori assoluti | lavorativo inclusione,"39,2",39.2,percent,ok
