file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Femmine,3,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),15.395,15395,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Femmine,4,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),"6,3",6.3,percent,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Femmine,5,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),33.476,33476,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,Femmine,6,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),"13,6",13.6,percent,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,30-54,0,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),240.687,240687,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,30-54,1,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),54.730,54730,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,30-54,2,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),"22,7",22.7,percent,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,30-54,3,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),17.140,17140,count,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,30-54,4,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),"7,1",7.1,percent,best_effort
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,J,7,Tassi di occupazione dei presi in carico* in GOL secondo alcune caratteristiche dei beneficiari (v.a. e v %),15,30-54,5,Occupati a 60 giorni dalla presa in carico | Presi in carico | in GOL da di cui: con lo | almeno 65 stesso rapporto di cui : con | giorni Totale % di lavoro già in % nuovo rapporto % | ( A ) (B) (B/A) ingresso (C/A) di lavoro (D/A) | ( D ) | ( C ),37.590,37590,count,best_effort
