file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Basilicata,4,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"4,1",4.1,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Basilicata,5,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),524,524,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Basilicata,6,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"10,1",10.1,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,P.A. Bolzano,0,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),1.281,1281,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,P.A. Bolzano,1,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),360,360,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,P.A. Bolzano,2,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"28,1",28.1,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,P.A. Bolzano,3,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),56,56,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,P.A. Bolzano,4,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"4,4",4.4,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,P.A. Bolzano,5,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),304,304,count,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,P.A. Bolzano,6,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),"23,7",23.7,percent,ok
2022/Nota GOL _Focus ANPAL 145_errata_corrigeedd1.pdf,ANPAL,2022-12-31,H,6,Tassi di occupazione dei presi in carico* in GOL per regione (v.a. e %),14,Calabria,0,Occupati a 60 giorni dalla presa in carico | Presi in carico in | di cui: con lo | GOL da almeno di cui : con | stesso rapporto di | 65 giorni Totale % %nuovo rapporto % | lavoro già in | ( A ) (B) (B/A) (C/A) di lavoro (D/A) | ingresso | ( D ) | ( C ),20.176,20176,count,ok
