report_id,data_riferimento,presi_in_carico,occupati_totale,occupati_pc,nuovi_occupati,nuovi_occupati_pc,gia_occupati,gia_occupati_pc,quota_nuovi_su_occ,dimensione,etichetta,percorso
INAPP_Focus-GOL_7-2025,2025-05-31,63468,29145,45.9,26565,41.9,2580,4.1,91.1,regione,Abruzzo,NA
INAPP_Focus-GOL_7-2025,2025-05-31,40024,14177,35.4,12888,32.2,1289,3.2,90.9,regione,Basilicata,NA
INAPP_Focus-GOL_7-2025,2025-05-31,14518,7741,53.3,7333,50.5,408,2.8,94.7,regione,P.A. Bolzano,NA
INAPP_Focus-GOL_7-2025,2025-05-31,151729,48858,32.2,44589,29.4,4269,2.8,91.3,regione,Calabria,NA
INAPP_Focus-GOL_7-2025,2025-05-31,475972,157268,33,143086,30.1,14182,3,91,regione,Campania,NA
INAPP_Focus-GOL_7-2025,2025-05-31,241703,110759,45.8,99738,41.3,11021,4.6,90,regione,Emilia-Romagna,NA
INAPP_Focus-GOL_7-2025,2025-05-31,97222,50313,51.8,47772,49.1,2541,2.6,94.9,regione,Friuli-Venezia Giulia,NA
INAPP_Focus-GOL_7-2025,2025-05-31,234294,103251,44.1,90890,38.8,12361,5.3,88,regione,Lazio,NA
INAPP_Focus-GOL_7-2025,2025-05-31,60035,28920,48.2,26111,43.5,2809,4.7,90.3,regione,Liguria,NA
INAPP_Focus-GOL_7-2025,2025-05-31,417356,183596,44,161635,38.7,21961,5.3,88,regione,Lombardia,NA
INAPP_Focus-GOL_7-2025,2025-05-31,96408,43738,45.4,39681,41.2,4057,4.2,90.7,regione,Marche,NA
INAPP_Focus-GOL_7-2025,2025-05-31,10943,4059,37.1,3659,33.4,400,3.7,90.1,regione,Molise,NA
INAPP_Focus-GOL_7-2025,2025-05-31,224070,92814,41.4,82927,37,9887,4.4,89.3,regione,Piemonte,NA
INAPP_Focus-GOL_7-2025,2025-05-31,324006,127715,39.4,117959,36.4,9756,3,92.4,regione,Puglia,NA
INAPP_Focus-GOL_7-2025,2025-05-31,150781,70726,46.9,65922,43.7,4804,3.2,93.2,regione,Sardegna,NA
INAPP_Focus-GOL_7-2025,2025-05-31,455939,160309,35.2,148586,32.6,11723,2.6,92.7,regione,Sicilia,NA
INAPP_Focus-GOL_7-2025,2025-05-31,239906,123175,51.3,112273,46.8,10902,4.5,91.1,regione,Toscana,NA
INAPP_Focus-GOL_7-2025,2025-05-31,23944,11326,47.3,10648,44.5,678,2.8,94,regione,P.A. Trento,NA
INAPP_Focus-GOL_7-2025,2025-05-31,54612,27654,50.6,25271,46.3,2383,4.4,91.4,regione,Umbria,NA
INAPP_Focus-GOL_7-2025,2025-05-31,273020,131160,48,122626,44.9,8534,3.1,93.5,regione,Veneto,NA
INAPP_Focus-GOL_7-2025,2025-05-31,3655732,1529368,41.8,1392582,38.1,136786,3.7,91.1,regione,Totale,NA
INAPP_Focus-GOL_7-2025,2025-05-31,1836021,958738,52.2,882279,48.1,76459,4.2,92,percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo
INAPP_Focus-GOL_7-2025,2025-05-31,138407,30217,21.8,24189,17.5,6028,4.4,80.1,percorso,4_lavoro_inclusione,4_lavoro_inclusione
INAPP_Focus-GOL_8-2025,2025-06-30,64468,31074,48.2,28566,44.3,2508,3.9,91.9,regione,Abruzzo,NA
INAPP_Focus-GOL_8-2025,2025-06-30,40700,15380,37.8,14066,34.6,1314,3.2,91.5,regione,Basilicata,NA
INAPP_Focus-GOL_8-2025,2025-06-30,14769,8263,55.9,7873,53.3,390,2.6,95.3,regione,P.A. Bolzano,NA
INAPP_Focus-GOL_8-2025,2025-06-30,154772,53412,34.5,49116,31.7,4296,2.8,92,regione,Calabria,NA
INAPP_Focus-GOL_8-2025,2025-06-30,484309,162040,33.5,147735,30.5,14305,3,91.2,regione,Campania,NA
INAPP_Focus-GOL_8-2025,2025-06-30,247654,118497,47.8,107548,43.4,10949,4.4,90.8,regione,Emilia-Romagna,NA
INAPP_Focus-GOL_8-2025,2025-06-30,98866,52597,53.2,50055,50.6,2542,2.6,95.2,regione,Friuli-Venezia Giulia,NA
INAPP_Focus-GOL_8-2025,2025-06-30,238730,107183,44.9,94840,39.7,12343,5.2,88.5,regione,Lazio,NA
INAPP_Focus-GOL_8-2025,2025-06-30,61450,31008,50.5,28171,45.8,2837,4.6,90.9,regione,Liguria,NA
INAPP_Focus-GOL_8-2025,2025-06-30,429792,194106,45.2,171933,40,22173,5.2,88.6,regione,Lombardia,NA
INAPP_Focus-GOL_8-2025,2025-06-30,97945,47556,48.6,43611,44.5,3945,4,91.7,regione,Marche,NA
INAPP_Focus-GOL_8-2025,2025-06-30,11442,4364,38.1,3953,34.5,411,3.6,90.6,regione,Molise,NA
INAPP_Focus-GOL_8-2025,2025-06-30,230447,99246,43.1,89251,38.7,9995,4.3,89.9,regione,Piemonte,NA
INAPP_Focus-GOL_8-2025,2025-06-30,332662,139499,41.9,129744,39,9755,2.9,93,regione,Puglia,NA
INAPP_Focus-GOL_8-2025,2025-06-30,153176,77237,50.4,72620,47.4,4617,3,94,regione,Sardegna,NA
INAPP_Focus-GOL_8-2025,2025-06-30,466875,167130,35.8,155161,33.2,11969,2.6,92.8,regione,Sicilia,NA
INAPP_Focus-GOL_8-2025,2025-06-30,244844,131596,53.7,120911,49.4,10685,4.4,91.9,regione,Toscana,NA
INAPP_Focus-GOL_8-2025,2025-06-30,24369,12786,52.5,12161,49.9,625,2.6,95.1,regione,P.A. Trento,NA
INAPP_Focus-GOL_8-2025,2025-06-30,55811,28667,51.4,26297,47.1,2370,4.2,91.7,regione,Umbria,NA
INAPP_Focus-GOL_8-2025,2025-06-30,279677,139380,49.8,130856,46.8,8524,3,93.9,regione,Veneto,NA
INAPP_Focus-GOL_8-2025,2025-06-30,3738725,1624013,43.4,1487226,39.8,136787,3.7,91.6,regione,Totale,NA
INAPP_Focus-GOL_8-2025,2025-06-30,1877618,1010665,53.8,934086,49.7,76579,4.1,92.4,percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo
INAPP_Focus-GOL_8-2025,2025-06-30,920894,405390,44,368805,40,36585,4,91,percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling
INAPP_Focus-GOL_8-2025,2025-06-30,798891,175435,22,157891,19.8,17544,2.2,90,percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling
INAPP_Focus-GOL_8-2025,2025-06-30,141322,32523,23,26444,18.7,6079,4.3,81.3,percorso,4_lavoro_inclusione,4_lavoro_inclusione
INAPP_Focus-GOL_9-2025,2025-08-31,66528,28585,43,25740,38.7,2845,4.3,90,regione,Abruzzo,NA
INAPP_Focus-GOL_9-2025,2025-08-31,44081,15723,35.7,14227,32.3,1496,3.4,90.5,regione,Basilicata,NA
INAPP_Focus-GOL_9-2025,2025-08-31,15301,8492,55.5,8088,52.9,404,2.6,95.2,regione,P.A. Bolzano,NA
INAPP_Focus-GOL_9-2025,2025-08-31,162024,52314,32.3,47752,29.5,4562,2.8,91.3,regione,Calabria,NA
INAPP_Focus-GOL_9-2025,2025-08-31,501585,157683,31.4,142841,28.5,14842,3,90.6,regione,Campania,NA
INAPP_Focus-GOL_9-2025,2025-08-31,257330,118859,46.2,107215,41.7,11644,4.5,90.2,regione,Emilia-Romagna,NA
INAPP_Focus-GOL_9-2025,2025-08-31,102776,50397,49,47673,46.4,2724,2.7,94.6,regione,Friuli-Venezia Giulia,NA
INAPP_Focus-GOL_9-2025,2025-08-31,250757,103742,41.4,90194,36,13548,5.4,86.9,regione,Lazio,NA
INAPP_Focus-GOL_9-2025,2025-08-31,63840,30697,48.1,27648,43.3,3049,4.8,90.1,regione,Liguria,NA
INAPP_Focus-GOL_9-2025,2025-08-31,478946,194514,40.6,169883,35.5,24631,5.1,87.3,regione,Lombardia,NA
INAPP_Focus-GOL_9-2025,2025-08-31,101536,46257,45.6,42103,41.5,4154,4.1,91,regione,Marche,NA
INAPP_Focus-GOL_9-2025,2025-08-31,12710,4540,35.7,4082,32.1,458,3.6,89.9,regione,Molise,NA
INAPP_Focus-GOL_9-2025,2025-08-31,242573,101164,41.7,90451,37.3,10713,4.4,89.4,regione,Piemonte,NA
INAPP_Focus-GOL_9-2025,2025-08-31,355411,139508,39.3,128816,36.2,10692,3,92.3,regione,Puglia,NA
INAPP_Focus-GOL_9-2025,2025-08-31,160690,78556,48.9,73543,45.8,5013,3.1,93.6,regione,Sardegna,NA
INAPP_Focus-GOL_9-2025,2025-08-31,500187,163146,32.6,149910,30,13236,2.6,91.9,regione,Sicilia,NA
INAPP_Focus-GOL_9-2025,2025-08-31,261441,130704,50,119081,45.5,11623,4.4,91.1,regione,Toscana,NA
INAPP_Focus-GOL_9-2025,2025-08-31,25371,13234,52.2,12570,49.5,664,2.6,95,regione,P.A. Trento,NA
INAPP_Focus-GOL_9-2025,2025-08-31,58192,26091,44.8,23445,40.3,2646,4.5,89.9,regione,Umbria,NA
INAPP_Focus-GOL_9-2025,2025-08-31,290868,138642,47.7,129616,44.6,9026,3.1,93.5,regione,Veneto,NA
INAPP_Focus-GOL_9-2025,2025-08-31,3958471,1606027,40.6,1457803,36.8,148224,3.7,90.8,regione,Totale,NA
INAPP_Focus-GOL_9-2025,2025-08-31,2009317,984233,49,898654,44.7,85579,4.3,91.3,percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo
INAPP_Focus-GOL_9-2025,2025-08-31,953154,406524,42.7,368505,38.7,38019,4,90.6,percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling
INAPP_Focus-GOL_9-2025,2025-08-31,849569,181187,21.3,162850,19.2,18337,2.2,89.9,percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling
INAPP_Focus-GOL_9-2025,2025-08-31,146431,34083,23.3,27794,19,6289,4.3,81.5,percorso,4_lavoro_inclusione,4_lavoro_inclusione
