report_id,data_riferimento,presi_in_carico,occupati_totale,occupati_pc,nuovi_occupati,nuovi_occupati_pc,gia_occupati,gia_occupati_pc,quota_nuovi_su_occ,dimensione,etichetta,percorso
INAPP_Focus-GOL_13-2025,2025-10-31,2123596,1081210,50.9,990890,46.7,90320,4.3,91.6,percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo
INAPP_Focus-GOL_13-2025,2025-10-31,1003168,414031,41.3,372967,37.2,41064,4.1,90.1,percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling
INAPP_Focus-GOL_13-2025,2025-10-31,922799,188993,20.5,168206,18.2,20787,2.3,89,percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling
INAPP_Focus-GOL_13-2025,2025-10-31,153698,35490,23.1,28491,18.5,6999,4.6,80.3,percorso,4_lavoro_inclusione,4_lavoro_inclusione
INAPP_Focus-GOL_16-2025,2025-11-30,70730,31253,44.2,28249,39.9,3004,4.2,90.4,regione,Abruzzo,NA
INAPP_Focus-GOL_16-2025,2025-11-30,46994,17499,37.2,15846,33.7,1653,3.5,90.6,regione,Basilicata,NA
INAPP_Focus-GOL_16-2025,2025-11-30,16241,8204,50.5,7708,47.5,496,3.1,94,regione,P.A. Bolzano,NA
INAPP_Focus-GOL_16-2025,2025-11-30,174974,57335,32.8,52118,29.8,5217,3,90.9,regione,Calabria,NA
INAPP_Focus-GOL_16-2025,2025-11-30,542557,165241,30.5,146538,27,18703,3.4,88.7,regione,Campania,NA
INAPP_Focus-GOL_16-2025,2025-11-30,276849,121318,43.8,108264,39.1,13054,4.7,89.2,regione,Emilia-Romagna,NA
INAPP_Focus-GOL_16-2025,2025-11-30,110024,51740,47,48490,44.1,3250,3,93.7,regione,Friuli-Venezia Giulia,NA
INAPP_Focus-GOL_16-2025,2025-11-30,280444,117885,42,101984,36.4,15901,5.7,86.5,regione,Lazio,NA
INAPP_Focus-GOL_16-2025,2025-11-30,68763,28637,41.6,25126,36.5,3511,5.1,87.7,regione,Liguria,NA
INAPP_Focus-GOL_16-2025,2025-11-30,535803,226179,42.2,199141,37.2,27038,5,88,regione,Lombardia,NA
INAPP_Focus-GOL_16-2025,2025-11-30,109505,46639,42.6,41683,38.1,4956,4.5,89.4,regione,Marche,NA
INAPP_Focus-GOL_16-2025,2025-11-30,14608,5547,38,4930,33.7,617,4.2,88.9,regione,Molise,NA
INAPP_Focus-GOL_16-2025,2025-11-30,266958,111897,41.9,99399,37.2,12498,4.7,88.8,regione,Piemonte,NA
INAPP_Focus-GOL_16-2025,2025-11-30,391092,143494,36.7,131334,33.6,12160,3.1,91.5,regione,Puglia,NA
INAPP_Focus-GOL_16-2025,2025-11-30,173242,65549,37.8,58696,33.9,6853,4,89.5,regione,Sardegna,NA
INAPP_Focus-GOL_16-2025,2025-11-30,548948,182517,33.2,166663,30.4,15854,2.9,91.3,regione,Sicilia,NA
INAPP_Focus-GOL_16-2025,2025-11-30,284736,131447,46.2,117385,41.2,14062,4.9,89.3,regione,Toscana,NA
INAPP_Focus-GOL_16-2025,2025-11-30,27707,12006,43.3,11165,40.3,841,3,93,regione,P.A. Trento,NA
INAPP_Focus-GOL_16-2025,2025-11-30,64150,31020,48.4,27861,43.4,3159,4.9,89.8,regione,Umbria,NA
INAPP_Focus-GOL_16-2025,2025-11-30,319714,141999,44.4,131400,41.1,10599,3.3,92.5,regione,Veneto,NA
INAPP_Focus-GOL_16-2025,2025-11-30,4319983,1693421,39.2,1524978,35.3,168443,3.9,90.1,regione,Totale,NA
INAPP_Focus-GOL_16-2025,2025-11-30,2187601,1057578,48.3,961052,43.9,96526,4.4,90.9,percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo
INAPP_Focus-GOL_16-2025,2025-11-30,1027980,409236,39.8,366244,35.6,42992,4.2,89.5,percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling
INAPP_Focus-GOL_16-2025,2025-11-30,943858,191038,20.2,169548,18,21490,2.3,88.8,percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling
INAPP_Focus-GOL_16-2025,2025-11-30,160544,35569,22.2,28134,17.5,7435,4.6,79.1,percorso,4_lavoro_inclusione,4_lavoro_inclusione
INAPP_Focus-GOL_17-2025,2025-12-31,71929,31286,43.5,28140,39.1,3146,4.4,89.9,regione,Abruzzo,NA
INAPP_Focus-GOL_17-2025,2025-12-31,47703,17231,36.1,15489,32.5,1742,3.7,89.9,regione,Basilicata,NA
INAPP_Focus-GOL_17-2025,2025-12-31,16514,8764,53.1,8281,50.1,483,2.9,94.5,regione,P.A. Bolzano,NA
INAPP_Focus-GOL_17-2025,2025-12-31,178746,58311,32.6,52981,29.6,5330,3,90.9,regione,Calabria,NA
INAPP_Focus-GOL_17-2025,2025-12-31,554450,165501,29.8,146220,26.4,19281,3.5,88.3,regione,Campania,NA
INAPP_Focus-GOL_17-2025,2025-12-31,281586,121658,43.2,108301,38.5,13357,4.7,89,regione,Emilia-Romagna,NA
INAPP_Focus-GOL_17-2025,2025-12-31,111538,52880,47.4,49565,44.4,3315,3,93.7,regione,Friuli-Venezia Giulia,NA
INAPP_Focus-GOL_17-2025,2025-12-31,289903,120066,41.4,103406,35.7,16660,5.7,86.1,regione,Lazio,NA
INAPP_Focus-GOL_17-2025,2025-12-31,69977,29223,41.8,25680,36.7,3543,5.1,87.9,regione,Liguria,NA
INAPP_Focus-GOL_17-2025,2025-12-31,547768,230850,42.1,203007,37.1,27843,5.1,87.9,regione,Lombardia,NA
INAPP_Focus-GOL_17-2025,2025-12-31,111440,47024,42.2,41936,37.6,5088,4.6,89.2,regione,Marche,NA
INAPP_Focus-GOL_17-2025,2025-12-31,15188,5587,36.8,4914,32.4,673,4.4,88,regione,Molise,NA
INAPP_Focus-GOL_17-2025,2025-12-31,273770,112057,40.9,99089,36.2,12968,4.7,88.4,regione,Piemonte,NA
INAPP_Focus-GOL_17-2025,2025-12-31,400901,146664,36.6,134077,33.4,12587,3.1,91.4,regione,Puglia,NA
INAPP_Focus-GOL_17-2025,2025-12-31,176814,66442,37.6,59413,33.6,7029,4,89.4,regione,Sardegna,NA
INAPP_Focus-GOL_17-2025,2025-12-31,561914,179361,31.9,163505,29.1,15856,2.8,91.2,regione,Sicilia,NA
INAPP_Focus-GOL_17-2025,2025-12-31,290131,132382,45.6,117971,40.7,14411,5,89.1,regione,Toscana,NA
INAPP_Focus-GOL_17-2025,2025-12-31,28213,13329,47.2,12517,44.4,812,2.9,93.9,regione,P.A. Trento,NA
INAPP_Focus-GOL_17-2025,2025-12-31,65465,30844,47.1,27590,42.1,3254,5,89.5,regione,Umbria,NA
INAPP_Focus-GOL_17-2025,2025-12-31,325161,143476,44.1,132553,40.8,10923,3.4,92.4,regione,Veneto,NA
INAPP_Focus-GOL_17-2025,2025-12-31,4415184,1709212,38.7,1536056,34.8,173156,3.9,89.9,regione,Totale,NA
INAPP_Focus-GOL_17-2025,2025-12-31,2240785,1067368,47.6,967748,43.2,99620,4.4,90.7,percorso,1_reinserimento_lavorativo,1_reinserimento_lavorativo
INAPP_Focus-GOL_17-2025,2025-12-31,1047655,411068,39.2,367115,35,43953,4.2,89.3,percorso,2_aggiornamento_upskilling,2_aggiornamento_upskilling
INAPP_Focus-GOL_17-2025,2025-12-31,958276,194548,20.3,172785,18,21763,2.3,88.8,percorso,3_riqualificazione_reskilling,3_riqualificazione_reskilling
INAPP_Focus-GOL_17-2025,2025-12-31,168468,36228,21.5,28408,16.9,7820,4.6,78.4,percorso,4_lavoro_inclusione,4_lavoro_inclusione
INAPP_Focus-GOL_3-2025,2025-01-31,43684,20010,45.8,18260,41.8,1750,4,91.3,regione,Abruzzo,NA
INAPP_Focus-GOL_3-2025,2025-01-31,24552,8445,34.4,7669,31.2,776,3.2,90.8,regione,Basilicata,NA
INAPP_Focus-GOL_3-2025,2025-01-31,10623,5650,53.2,5315,50,335,3.2,94.1,regione,P.A. Bolzano,NA
INAPP_Focus-GOL_3-2025,2025-01-31,100930,34095,33.8,31145,30.9,2950,2.9,91.3,regione,Calabria,NA
INAPP_Focus-GOL_3-2025,2025-01-31,338453,110792,32.7,99473,29.4,11319,3.3,89.8,regione,Campania,NA
INAPP_Focus-GOL_3-2025,2025-01-31,171689,78016,45.4,69827,40.7,8189,4.8,89.5,regione,Emilia-Romagna,NA
INAPP_Focus-GOL_3-2025,2025-01-31,68595,33096,48.2,31114,45.4,1982,2.9,94,regione,Friuli-Venezia Giulia,NA
