report_id,data_riferimento,tavola,dimensione,etichetta,variabile,percorso,unita_misura,valore
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Abruzzo,2022,NA,valore_assoluto,9628
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Abruzzo,2023,NA,valore_assoluto,25213
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Abruzzo,2024,NA,valore_assoluto,24115
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Abruzzo,2025,NA,valore_assoluto,15568
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Abruzzo,totale,NA,valore_assoluto,74524
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Abruzzo,incidenza_pc,NA,percentuale,20.9
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Abruzzo,individui,NA,valore_assoluto,67825
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Basilicata,2022,NA,valore_assoluto,6428
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Basilicata,2023,NA,valore_assoluto,12917
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Basilicata,2024,NA,valore_assoluto,18740
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Basilicata,2025,NA,valore_assoluto,14311
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Basilicata,totale,NA,valore_assoluto,52396
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Basilicata,incidenza_pc,NA,percentuale,27.3
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Basilicata,individui,NA,valore_assoluto,44985
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,P.A. Bolzano,2022,NA,valore_assoluto,2423
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,P.A. Bolzano,2023,NA,valore_assoluto,5874
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,P.A. Bolzano,2024,NA,valore_assoluto,5607
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,P.A. Bolzano,2025,NA,valore_assoluto,3649
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,P.A. Bolzano,totale,NA,valore_assoluto,17553
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,P.A. Bolzano,incidenza_pc,NA,percentuale,20.8
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,P.A. Bolzano,individui,NA,valore_assoluto,15637
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Calabria,2022,NA,valore_assoluto,28182
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Calabria,2023,NA,valore_assoluto,48688
INAPP_Focus-GOL_12-2025,2025-09-30,1.1,regione,Calabria,2024,NA,valore_assoluto,63267
