report_id,data_riferimento,regione,perc1_ass,perc2_ass,perc3_ass,perc4_ass,perc5_ass,perc1_pc,perc2_pc,perc3_pc,perc4_pc,perc5_pc
INAPP_Focus-GOL_9-2025,2025-08-31,Basilicata,25684,8371,16617,532,4,50.2,16.3,32.5,1,0
INAPP_Focus-GOL_9-2025,2025-08-31,P.A. Bolzano,12057,3715,560,796,0,70.4,21.7,3.3,4.6,0
INAPP_Focus-GOL_9-2025,2025-08-31,Calabria,78745,44146,52025,4443,1155,43.6,24.5,28.8,2.5,0.6
INAPP_Focus-GOL_9-2025,2025-08-31,Campania,179905,123143,231703,30222,1070,31.8,21.8,40.9,5.3,0.2
INAPP_Focus-GOL_9-2025,2025-08-31,Emilia-Romagna,175782,62111,23466,19162,37,62.7,22.1,8.4,6.8,0
INAPP_Focus-GOL_9-2025,2025-08-31,Friuli-Venezia Giulia,80909,26750,9590,2931,583,67,22.2,7.9,2.4,0.5
INAPP_Focus-GOL_9-2025,2025-08-31,Lazio,158340,49857,54258,2189,1088,59.6,18.8,20.4,0.8,0.4
INAPP_Focus-GOL_9-2025,2025-08-31,Liguria,46266,8800,10525,3519,19,66.9,12.7,15.2,5.1,0
INAPP_Focus-GOL_9-2025,2025-08-31,Lombardia,294492,139064,79504,19170,128,55.3,26.1,14.9,3.6,0
INAPP_Focus-GOL_9-2025,2025-08-31,Marche,85087,19265,9389,2051,1,73.5,16.6,8.1,1.8,0
INAPP_Focus-GOL_9-2025,2025-08-31,Molise,4970,3820,5044,119,311,34.8,26.8,35.4,0.8,2.2
INAPP_Focus-GOL_9-2025,2025-08-31,Piemonte,140093,59145,42049,27616,850,51.9,21.9,15.6,10.2,0.3
INAPP_Focus-GOL_9-2025,2025-08-31,Puglia,151749,113464,106068,7408,0,40.1,30,28,2,0
INAPP_Focus-GOL_9-2025,2025-08-31,Sardegna,103597,43392,31904,3314,756,56.6,23.7,17.4,1.8,0.4
INAPP_Focus-GOL_9-2025,2025-08-31,Sicilia,248854,123838,173184,14032,931,44.4,22.1,30.9,2.5,0.2
INAPP_Focus-GOL_9-2025,2025-08-31,Toscana,207849,62365,26914,10995,97,67.4,20.2,8.7,3.6,0
INAPP_Focus-GOL_9-2025,2025-08-31,P.A. Trento,16157,6871,1506,2165,0,60.5,25.7,5.6,8.1,0
INAPP_Focus-GOL_9-2025,2025-08-31,Umbria,46823,9411,8668,1493,355,70.1,14.1,13,2.2,0.5
INAPP_Focus-GOL_9-2025,2025-08-31,Veneto,159997,145466,21050,9403,1010,47.5,43.2,6.2,2.8,0.3
INAPP_Focus-GOL_9-2025,2025-08-31,Totale,2268005,1066791,917348,163896,8398,51.3,24.1,20.7,3.7,0.2
