report_id,data_riferimento,regione,raggiunti,con_politica,con_politica_pc,lep_e,lep_f1,lep_f2,c07_form_incl_dig,c11_form_no_dig,c12_form_spec_dig,lep_h,lep_j,lep_o,tirocinio_co,con_pol_o_tiroc,con_pol_o_tiroc_pc
INAPP_Focus-GOL_12-2025,2025-09-30,Toscana,268650,242964,90.4,220106,177789,10608,36957,36367,20837,81901,5441,3322,15496,243868,90.8
INAPP_Focus-GOL_12-2025,2025-09-30,P.A. Trento,26080,25090,96.2,10802,22812,265,1238,2997,2517,6535,352,117,752,25109,96.3
INAPP_Focus-GOL_12-2025,2025-09-30,Umbria,60323,44603,73.9,43018,24584,2188,355,6013,4957,9966,0,9,5203,45809,75.9
INAPP_Focus-GOL_12-2025,2025-09-30,Veneto,305355,305085,99.9,304964,285422,14114,9403,44998,22841,68260,2392,351,32200,305143,99.9
INAPP_Focus-GOL_12-2025,2025-09-30,Totale,4088044,2739928,67,2413150,1658087,98780,339986,237390,297340,817311,9397,29773,263780,2833774,69.3
INAPP_Focus-GOL_13-2025,2025-10-31,Abruzzo,69284,59102,85.3,47172,33145,15,1505,940,3147,5497,0,110,4450,59936,86.5
INAPP_Focus-GOL_13-2025,2025-10-31,Basilicata,46133,17661,38.3,9199,4487,0,3442,1676,6136,11025,4,138,2013,19541,42.4
INAPP_Focus-GOL_13-2025,2025-10-31,P.A. Bolzano,15980,15795,98.8,1959,15774,70,17,1075,479,1344,0,30,363,15804,98.9
INAPP_Focus-GOL_13-2025,2025-10-31,Calabria,171130,116647,68.2,113138,68588,3260,7394,6646,17205,30213,0,3469,7057,120565,70.5
INAPP_Focus-GOL_13-2025,2025-10-31,Campania,529316,384930,72.7,367818,152095,8164,143545,266,25309,166980,1078,2832,27309,393581,74.4
INAPP_Focus-GOL_13-2025,2025-10-31,Emilia-Romagna,269603,226583,84,216668,178216,9263,32809,7842,57277,93793,153,2007,17324,229292,85
INAPP_Focus-GOL_13-2025,2025-10-31,Friuli-Venezia Giulia,108261,101600,93.8,79477,92603,3209,7368,13349,13625,30628,91,85,5867,101887,94.1
INAPP_Focus-GOL_13-2025,2025-10-31,Lazio,270347,155478,57.5,147291,35899,8932,10542,15767,11822,37418,0,614,16910,160653,59.4
INAPP_Focus-GOL_13-2025,2025-10-31,Liguria,66992,52694,78.7,43453,30497,2181,42,10610,9555,18102,0,49,4383,53269,79.5
INAPP_Focus-GOL_13-2025,2025-10-31,Lombardia,519890,317123,61,267581,212141,16927,17265,55405,41750,101036,162,2235,35739,334388,64.3
INAPP_Focus-GOL_13-2025,2025-10-31,Marche,106638,90626,85,53017,79806,3978,6320,3185,4678,13208,1,1187,10880,92169,86.4
INAPP_Focus-GOL_13-2025,2025-10-31,Molise,13896,3062,22,981,96,3,1273,223,976,2326,1,4,1047,4015,28.9
INAPP_Focus-GOL_13-2025,2025-10-31,Piemonte,258697,184161,71.2,174189,98333,22698,47766,6151,16017,64306,1,53,26256,186773,72.2
INAPP_Focus-GOL_13-2025,2025-10-31,Puglia,379687,180701,47.6,95189,111655,504,24381,17510,22612,63121,7,14882,22225,196569,51.8
INAPP_Focus-GOL_13-2025,2025-10-31,Sardegna,168953,137568,81.4,136258,58055,5460,28,9017,9169,17308,1,271,11518,139499,82.6
INAPP_Focus-GOL_13-2025,2025-10-31,Sicilia,532644,174246,32.7,155619,26670,180,14139,7960,26852,46686,2,234,26029,198013,37.2
INAPP_Focus-GOL_13-2025,2025-10-31,Toscana,277036,251005,90.6,227743,183591,11256,39255,39093,23416,88116,5874,3432,16264,251929,90.9
INAPP_Focus-GOL_13-2025,2025-10-31,P.A. Trento,26984,25942,96.1,11166,23652,283,1293,3285,2821,7118,364,127,787,25964,96.2
INAPP_Focus-GOL_13-2025,2025-10-31,Umbria,62308,46684,74.9,44924,25757,2596,361,6411,5260,10614,0,9,5411,47775,76.7
INAPP_Focus-GOL_13-2025,2025-10-31,Veneto,312907,312682,99.9,312576,291756,14161,9908,47889,23962,72082,2409,371,33359,312716,99.9
INAPP_Focus-GOL_13-2025,2025-10-31,Totale,4213590,2860348,67.9,2510219,1726643,113535,369007,254699,322529,882259,10175,32173,275817,2950439,70
INAPP_Focus-GOL_16-2025,2025-11-30,Abruzzo,70730,60555,85.6,48337,34045,16,1652,1346,4685,7486,0,111,4541,61395,86.8
INAPP_Focus-GOL_16-2025,2025-11-30,Basilicata,46994,18767,39.9,9427,4809,0,3663,1777,7170,12239,5,149,2073,20671,44
INAPP_Focus-GOL_16-2025,2025-11-30,P.A. Bolzano,16241,16060,98.9,2065,16037,76,15,1205,551,1511,0,30,376,16070,98.9
INAPP_Focus-GOL_16-2025,2025-11-30,Calabria,174974,121693,69.5,117031,73154,3819,9354,7645,24733,39636,0,3507,7441,125540,71.7
INAPP_Focus-GOL_16-2025,2025-11-30,Campania,542557,400521,73.8,382163,166914,8797,153642,283,31943,182509,1188,3007,28057,409161,75.4
INAPP_Focus-GOL_16-2025,2025-11-30,Emilia-Romagna,276849,234737,84.8,224387,185022,9718,34717,8384,66335,104325,255,2121,17987,237507,85.8
INAPP_Focus-GOL_16-2025,2025-11-30,Friuli-Venezia Giulia,110024,104971,95.4,81368,94667,3359,9223,14096,14714,33969,104,103,6017,105256,95.7
INAPP_Focus-GOL_16-2025,2025-11-30,Lazio,280444,164454,58.6,155081,37683,9431,13266,17265,15858,45453,1,641,17373,169441,60.4
INAPP_Focus-GOL_16-2025,2025-11-30,Liguria,68763,54326,79,44678,31594,2328,46,11229,10276,19318,0,51,4600,54909,79.9
INAPP_Focus-GOL_16-2025,2025-11-30,Lombardia,535803,338651,63.2,280602,221405,19189,22957,57098,47574,113657,390,2326,37333,356468,66.5
INAPP_Focus-GOL_16-2025,2025-11-30,Marche,109505,94343,86.2,55334,81726,7948,8233,3842,5877,16439,1,1199,11354,95076,86.8
INAPP_Focus-GOL_16-2025,2025-11-30,Molise,14608,3639,24.9,1066,173,5,1464,270,1317,2864,1,4,1084,4588,31.4
