"1. Reinserimento
lavorativo",c3,c4,"2. Aggiornamento
(Upskilling)",c6,c7,"3. Riqualificazione
(Reskilling)",c9,c10,"4. Lavoro e
inclusione",c12,c13,Totale,c15,c16
,"39,1",,,"36,4",,,"34,6",,,"37,8",,,"37,9",
,"6,9",,,"8,4",,,"10,8",,,"2,1",,,"7,6",
,"44,9",,,"42,8",,,"44,0",,,"43,7",,,"44,2",
,"5,8",,,"9,5",,,"7,1",,,"13,3",,,"7,0",
,"3,3",,,"2,9",,,"3,6",,,"3,0",,,"3,2",
"100,0",,,"100,0",,,"100,0",,,"100,0",,,"100,0",,
