"1
Reinserimento
lavorativo","2
Upskilling","3
Reskilling","4
Lavoro e
inclusione",Totale
"42,3","40,4","36,6","39,3","41,1"
"6,2","8,3","11,3","2,8","7,2"
"42,9","39,7","42,0","43,6","42,0"
"5,5","8,9","6,6","11,5","6,5"
"3,2","2,7","3,5","2,8","3,1"
100,100,100,100,100
