Nord-Ovest,1.012.374,"20,1",81.206,"24,2","8,0",35.847,"23,6"
Nord-Est,873.614,"17,4",69.893,"20,8","8,0",39.833,"26,3"
Centro,865.146,"17,2",58.605,"17,4","6,8",37.393,"24,6"
Sud e Isole,2.274.669,"45,3",126.168,"37,6","5,5",38.642,"25,5"
