c1,c4,c5,c4,c9,c10,Cittadinanza,c12,c13,c10,c16,c17
Maschi,Femmine,Totale,15-29,30-54,55+,Totale,Italiana,Straniera,Totale,">=6
mesi",">=12
mesi"
