"1
Reinserimento
lavorativo",c3,c4,"2
Aggiornamento
(upskilling)",c6,c7,"3
Riqualificazione
(reskilling)",c9,c10,"4
Lavoro e
inclusione",c12,c13,Totale,c15,c16
,"35,3",,,"33,8",,,"32,5",,,"35,4",,,"34,6",
,"6,4",,,"7,9",,,"10,4",,,"2,3",,,"7,1",
,"50,4",,,"47,3",,,"47,3",,,"48,0",,,"49,3",
,"5,1",,,"8,3",,,"6,4",,,"11,5",,,"6,2",
,"2,9",,,"2,6",,,"3,3",,,"2,8",,,"2,9",
,"100,0",,,"100,0",,,"100,0",,,"100,0",,,"100,0",
