regione;anno;trimestre;trimestre_roman;flusso;rapporti;lavoratori;media;file_origine
Bolzano/Bolzen;2024;4;IV;avviamenti;51912.0;47780.0;1.0864796986186689;Allegato-III-Trimestre-CO-2025.xlsx
Bolzano/Bolzen;2024;4;IV;cessazioni;68123.0;60498.0;1.1260372243710537;Allegato-III-Trimestre-CO-2025.xlsx
Calabria;2024;4;IV;avviamenti;82237.0;66914.0;1.2289954269659562;Allegato-III-Trimestre-CO-2025.xlsx
Calabria;2024;4;IV;cessazioni;130954.0;112752.0;1.1614339435220662;Allegato-III-Trimestre-CO-2025.xlsx
Campania;2024;4;IV;avviamenti;251257.0;184991.0;1.358212021125352;Allegato-III-Trimestre-CO-2025.xlsx
Campania;2024;4;IV;cessazioni;313993.0;245099.0;1.281086418141241;Allegato-III-Trimestre-CO-2025.xlsx
Emilia Romagna;2024;4;IV;avviamenti;223900.0;174423.0;1.2836609850765095;Allegato-III-Trimestre-CO-2025.xlsx
Emilia Romagna;2024;4;IV;cessazioni;303696.0;243919.0;1.245069059810839;Allegato-III-Trimestre-CO-2025.xlsx
Friuli Venezia Giulia;2024;4;IV;avviamenti;54522.0;43769.0;1.2456761634947109;Allegato-III-Trimestre-CO-2025.xlsx
Friuli Venezia Giulia;2024;4;IV;cessazioni;70728.0;59590.0;1.1869105554623258;Allegato-III-Trimestre-CO-2025.xlsx
Lazio;2024;4;IV;avviamenti;494303.0;257946.0;1.9163041876982003;Allegato-III-Trimestre-CO-2025.xlsx
Lazio;2024;4;IV;cessazioni;528607.0;287784.0;1.8368185861618436;Allegato-III-Trimestre-CO-2025.xlsx
Liguria;2024;4;IV;avviamenti;61144.0;51290.0;1.1921232209007604;Allegato-III-Trimestre-CO-2025.xlsx
Liguria;2024;4;IV;cessazioni;72957.0;63180.0;1.1547483380816714;Allegato-III-Trimestre-CO-2025.xlsx
Lombardia;2024;4;IV;avviamenti;492883.0;372841.0;1.3219656636475066;Allegato-III-Trimestre-CO-2025.xlsx
Lombardia;2024;4;IV;cessazioni;537635.0;412514.0;1.303313342092632;Allegato-III-Trimestre-CO-2025.xlsx
Marche;2024;4;IV;avviamenti;66154.0;53613.0;1.2339171469606252;Allegato-III-Trimestre-CO-2025.xlsx
Marche;2024;4;IV;cessazioni;82216.0;68249.0;1.204647687145599;Allegato-III-Trimestre-CO-2025.xlsx
Molise;2024;4;IV;avviamenti;10758.0;9251.0;1.1629013079667063;Allegato-III-Trimestre-CO-2025.xlsx
Molise;2024;4;IV;cessazioni;13885.0;11925.0;1.1643605870020963;Allegato-III-Trimestre-CO-2025.xlsx
N.D. (c );2024;4;IV;avviamenti;866.0;732.0;1.1830601092896176;Allegato-III-Trimestre-CO-2025.xlsx
N.D. (c );2024;4;IV;cessazioni;1154.0;996.0;1.1586345381526104;Allegato-III-Trimestre-CO-2025.xlsx
Piemonte;2024;4;IV;avviamenti;153170.0;126194.0;1.2137661061540168;Allegato-III-Trimestre-CO-2025.xlsx
Piemonte;2024;4;IV;cessazioni;188570.0;157794.0;1.195039101613496;Allegato-III-Trimestre-CO-2025.xlsx
Puglia;2024;4;IV;avviamenti;250639.0;175072.0;1.4316338420764028;Allegato-III-Trimestre-CO-2025.xlsx
Puglia;2024;4;IV;cessazioni;364472.0;253589.0;1.437254770514494;Allegato-III-Trimestre-CO-2025.xlsx
Sardegna;2024;4;IV;avviamenti;71597.0;55491.0;1.2902452649979277;Allegato-III-Trimestre-CO-2025.xlsx
Sardegna;2024;4;IV;cessazioni;100581.0;83320.0;1.2071651464234276;Allegato-III-Trimestre-CO-2025.xlsx
Sicilia;2024;4;IV;avviamenti;208306.0;158890.0;1.3110076153313612;Allegato-III-Trimestre-CO-2025.xlsx
