Regione,c2,c3,"Individui
raggiunti",c5,c6,"Individui con
almeno una
politica
(LEP E, F1,
F2, H, J, O)",c8,c9,"% individui
con almeno
una politica
sui
raggiunti",c11,c12,Individui con LEP dopo la presa in carico,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,"Individui
con
Tirocinio
da CO",c41,c42,"Individui con
almeno una
politica
(SAP) o un
tirocino CO",c44,c45,"%
individui
con
almeno
una
politica o
un
tirocinio
sui
raggiunti",c47,c48
,,,,,,,,,,,,"LEP E
Orient.
Specialistico",,,"LEP F1
Accomp. al
lavoro",,,"LEP F2
Attivazione
tirocinio",,,Dettaglio formazione,,,,,,,,,,,,"LEP J
Concili
azione
vita e
lavoro",,,"LEP O
Supporto
,,,13.411,,,2.867,,,"21,4",,,941,,,29,,,3,,,1.159,,,196,,,942,,,2.180,,,1,,,1,,,964,,,3.757,,,"28,0",,
,,,250.576,,,175.796,,,"70,2",,,166.055,,,93.343,,,21.587,,,44.255,,,5.634,,,14.541,,,59.569,,,1,,,51,,,25.127,,,178.415,,,"71,2",,
,,,367.197,,,170.775,,,"46,5",,,88.692,,,107.571,,,493,,,22.457,,,15.985,,,19.222,,,56.574,,,5,,,13.142,,,21.243,,,186.180,,,"50,7",,
,,,164.869,,,133.048,,,"80,7",,,131.712,,,55.183,,,5.370,,,23,,,7.767,,,8.530,,,15.643,,,1,,,216,,,10.892,,,135.001,,,"81,9",,
,,,516.390,,,164.818,,,"31,9",,,148.400,,,24.862,,,172,,,13.575,,,4.902,,,23.236,,,40.379,,,2,,,225,,,24.971,,,187.911,,,"36,4",,
,,,268.650,,,242.964,,,"90,4",,,220.106,,,177.789,,,10.608,,,36.957,,,36.367,,,20.837,,,81.901,,,5.441,,,3.322,,,15.496,,,243.868,,,"90,8",,
,,,26.080,,,25.090,,,"96,2",,,10.802,,,22.812,,,265,,,1.238,,,2.997,,,2.517,,,6.535,,,352,,,117,,,752,,,25.109,,,"96,3",,
,,,60.323,,,44.603,,,"73,9",,,43.018,,,24.584,,,2.188,,,355,,,6.013,,,4.957,,,9.966,,,0,,,9,,,5.203,,,45.809,,,"75,9",,
,,,6.621,,,5.735,,,"86,6",,,4.496,,,3.690,,,315,,,332,,,377,,,415,,,1.262,,,26,,,31,,,590,,,5.799,,,"87,6",,
,,,305.355,,,305.085,,,"99,9",,,304.964,,,285.422,,,14.114,,,9.403,,,44.998,,,22.841,,,68.260,,,2.392,,,351,,,32.200,,,305.143,,,"99,9",,
,,,4.088.044,,,2.739.928,,,"67,0",,,2.413.150,,,1.658.087,,,98.780,,,339.986,,,237.390,,,297.340,,,817.311,,,9.397,,,29.773,,,263.780,,,2.833.774,,,"69,3",,
